sample,algorithm,algorithm_mse,algorithm_pixel_corr,deformation_mse,deformation_pixel_corr
BT012M_L1,TVL1,1088.9985,0.11515331439659691,1375.8225,0.07502258325586268
BT012M_L1,DIS,1125.5286,0.11434510811434272,1375.8225,0.07502258325586268
BT012M_L1,Farneback,1143.928,0.12457645179140224,1375.8225,0.07502258325586268
BT012M_L1,PCAFlow,1137.375,0.09796369793710742,1375.8225,0.07502258325586268
BT012M_L1,Lucas-Kanade,1365.1586,0.07626792191013315,1375.8225,0.07502258325586268
BT012M_L1,DeepFlow,1142.6104,0.11575324577845232,1375.8225,0.07502258325586268
BT012M_L2,TVL1,669.2104,0.15065429401422337,814.7811,0.04489363757988176
BT012M_L2,DIS,604.571,0.2313186001747865,814.7811,0.04489363757988176
BT012M_L2,Farneback,654.2039,0.1931250855913407,814.7811,0.04489363757988176
BT012M_L2,PCAFlow,613.2484,0.22887327908563748,814.7811,0.04489363757988176
BT012M_L2,Lucas-Kanade,805.6676,0.04678217997926826,814.7811,0.04489363757988176
BT012M_L2,DeepFlow,628.86237,0.2109263316487566,814.7811,0.04489363757988176
BT013_L1,TVL1,1085.2416,0.15216167993012558,1425.2977,0.03394954622179571
BT013_L1,DIS,1010.3879,0.24188136923643194,1425.2977,0.03394954622179571
BT013_L1,Farneback,1043.1771,0.23505878932079569,1425.2977,0.03394954622179571
BT013_L1,PCAFlow,1029.4553,0.23482519080631561,1425.2977,0.03394954622179571
BT013_L1,Lucas-Kanade,1408.1036,0.03580364609175506,1425.2977,0.03394954622179571
BT013_L1,DeepFlow,1041.5339,0.2357791305330759,1425.2977,0.03394954622179571
BT013_L2,TVL1,968.3566,0.18509212153869845,1405.699,0.03844738550262591
BT013_L2,DIS,979.0263,0.20274738603271314,1405.699,0.03844738550262591
BT013_L2,Farneback,1032.693,0.17212656811331975,1405.699,0.03844738550262591
BT013_L2,PCAFlow,1003.3644,0.18393618317724442,1405.699,0.03844738550262591
BT013_L2,Lucas-Kanade,1392.0227,0.040275875979885,1405.699,0.03844738550262591
BT013_L2,DeepFlow,1032.5094,0.16656010455622358,1405.699,0.03844738550262591
