sample,algorithm,avg_epe,avg_mse
sample_018,TVL1,7.234924285791513,1227.8286
sample_018,DIS,7.788074528648437,2226.0142
sample_018,Farneback,8.309479195546144,2210.921
sample_018,PCAFlow,10.704331819487724,1841.9089
sample_018,Lucas-Kanade,6.385654554902304,2988.8877
sample_018,DeepFlow,11.073393618758468,1104.6107
sample_019,TVL1,10.348674684465722,1463.498
sample_019,DIS,11.034477612355705,2749.3438
sample_019,Farneback,11.31376811923488,2797.7222
sample_019,PCAFlow,14.40806884846673,2360.7524
sample_019,Lucas-Kanade,9.337637354632696,3647.145
sample_019,DeepFlow,14.633250039917513,1707.4911
sample_020,TVL1,13.068760812803852,1593.6165
sample_020,DIS,14.382570254325923,2852.9983
sample_020,Farneback,14.645630408994686,2922.15
sample_020,PCAFlow,17.290009070773706,2674.2056
sample_020,Lucas-Kanade,12.262595167666724,3754.2285
sample_020,DeepFlow,17.708481470823116,2126.3245
sample_021,TVL1,10.471149392219683,1472.6962
sample_021,DIS,11.222683315429947,2611.3179
sample_021,Farneback,11.528813450978,2661.683
sample_021,PCAFlow,14.079527102698215,2465.4697
sample_021,Lucas-Kanade,9.92846935981087,3393.9253
sample_021,DeepFlow,13.775770315407176,2035.3259
sample_022,TVL1,7.99360980757948,1623.865
sample_022,DIS,8.752436282218675,2892.2505
sample_022,Farneback,9.195462681441649,2941.0667
sample_022,PCAFlow,12.233236710580583,2395.874
sample_022,Lucas-Kanade,7.185482112850368,3878.706
sample_022,DeepFlow,12.488973308227997,1459.0879
sample_023,TVL1,12.376450161355631,675.2973
sample_023,DIS,12.674886953902831,1358.7172
sample_023,Farneback,13.145468225402148,1362.0623
sample_023,PCAFlow,15.34341738383838,1186.2432
sample_023,Lucas-Kanade,10.667321932635417,1868.8286
sample_023,DeepFlow,15.899509768490395,871.7123
sample_024,TVL1,10.611456192074932,1146.338
sample_024,DIS,11.204924821809144,2269.501
sample_024,Farneback,11.649442147842063,2281.9766
sample_024,PCAFlow,14.053059389967757,1936.2788
sample_024,Lucas-Kanade,9.215043950583276,3049.8896
sample_024,DeepFlow,14.684586338528597,1387.2255
sample_025,TVL1,10.880271136800863,1619.8628
sample_025,DIS,11.559017735461495,2969.5254
sample_025,Farneback,11.9007586415152,3013.3174
sample_025,PCAFlow,14.570795433348392,2635.4663
sample_025,Lucas-Kanade,9.849877334358496,3935.4316
sample_025,DeepFlow,14.681363680117409,2024.8689
sample_026,TVL1,11.794322406445435,1943.7367
sample_026,DIS,12.69292631249885,3352.7866
sample_026,Farneback,12.808715623823328,3419.125
sample_026,PCAFlow,15.515422356904523,3182.4756
sample_026,Lucas-Kanade,11.226908618904897,4361.7227
sample_026,DeepFlow,15.55089314022992,2628.708
sample_027,TVL1,12.60638088036691,857.07043
sample_027,DIS,13.228222952776411,1709.2476
sample_027,Farneback,13.69622768237275,1727.8125
sample_027,PCAFlow,15.644162423539235,1570.7446
sample_027,Lucas-Kanade,11.162017498963252,2322.5952
sample_027,DeepFlow,16.246148954011634,1186.8647
sample_028,TVL1,10.971131914075185,1697.051
sample_028,DIS,12.11677627840686,3098.5225
sample_028,Farneback,12.273828882070625,3144.4714
sample_028,PCAFlow,15.281108087322199,2867.3857
sample_028,Lucas-Kanade,10.172866515804039,4080.0989
sample_028,DeepFlow,15.516873358198724,2158.0112
sample_029,TVL1,5.67696157325472,912.70935
sample_029,DIS,5.911362710063639,1732.5608
sample_029,Farneback,6.368677886738503,1682.2208
sample_029,PCAFlow,8.262407534909272,1093.4504
sample_029,Lucas-Kanade,4.392284853181498,2564.1863
sample_029,DeepFlow,8.597866560917407,567.786
sample_030,TVL1,8.613387714576142,1484.0549
sample_030,DIS,9.423023735716853,2790.0757
sample_030,Farneback,9.702713491433482,2837.5127
sample_030,PCAFlow,12.372293912855849,2241.3748
sample_030,Lucas-Kanade,7.472156468738143,3844.789
sample_030,DeepFlow,12.795057933783948,1452.508
sample_031,TVL1,12.683703750952908,968.1754
sample_031,DIS,13.117848865075363,1881.8552
sample_031,Farneback,13.495458156590573,1894.9966
sample_031,PCAFlow,15.958035394164934,1689.6986
sample_031,Lucas-Kanade,11.347557402284068,2514.4438
sample_031,DeepFlow,16.540964666921933,1296.9481
sample_032,TVL1,10.852675940554207,1651.978
sample_032,DIS,11.590308449968255,2862.993
sample_032,Farneback,11.906681744494174,2919.4832
sample_032,PCAFlow,14.431366057907507,2755.4045
sample_032,Lucas-Kanade,10.33885648728431,3716.0974
sample_032,DeepFlow,14.215630871175964,2230.552
sample_033,TVL1,11.508178404204907,1925.3728
sample_033,DIS,12.145257057715948,3408.0964
sample_033,Farneback,12.54357597052687,3472.122
sample_033,PCAFlow,14.915896508152887,3272.183
sample_033,Lucas-Kanade,10.890411984501545,4426.538
sample_033,DeepFlow,15.093558229609876,2728.2153
sample_034,TVL1,7.539740439906085,1653.1288
sample_034,DIS,8.142222067136416,2976.0723
sample_034,Farneback,8.341983528003826,3019.872
sample_034,PCAFlow,11.106324249794582,2577.2783
sample_034,Lucas-Kanade,6.827258365558722,3958.8071
sample_034,DeepFlow,11.47780682545389,1655.94
sample_035,TVL1,8.807947504134379,1918.3029
sample_035,DIS,9.657530402510382,3450.4119
sample_035,Farneback,9.859425253950487,3499.7441
sample_035,PCAFlow,12.58582063582279,3198.0474
sample_035,Lucas-Kanade,8.289465519246747,4492.7725
sample_035,DeepFlow,12.606188858386272,2391.8728
sample_036,TVL1,11.598477356189468,1397.1515
sample_036,DIS,12.499737048794401,2482.072
sample_036,Farneback,12.860592824691414,2517.267
sample_036,PCAFlow,15.485772609874846,2268.4443
sample_036,Lucas-Kanade,10.676199022183125,3241.163
sample_036,DeepFlow,15.525082384428378,1809.0142
sample_037,TVL1,11.1217844777377,1363.5652
sample_037,DIS,11.791764036166176,2515.0525
sample_037,Farneback,12.095814418953202,2546.7854
sample_037,PCAFlow,14.484736926763944,2320.9468
sample_037,Lucas-Kanade,10.115644168259593,3307.6025
sample_037,DeepFlow,14.648636710469562,1839.849
sample_038,TVL1,10.663485932210476,971.1355
sample_038,DIS,11.382408406900751,1817.9668
sample_038,Farneback,11.817393209760352,1827.8696
sample_038,PCAFlow,14.110228461194875,1654.1125
sample_038,Lucas-Kanade,9.59065603399784,2387.5112
sample_038,DeepFlow,14.506925286431084,1255.1406
sample_039,TVL1,9.55178991218209,579.21643
sample_039,DIS,9.466044130063072,1130.0833
sample_039,Farneback,9.934172606272769,1132.9194
sample_039,PCAFlow,12.014350150726047,942.7942
sample_039,Lucas-Kanade,7.680589911129438,1570.7378
sample_039,DeepFlow,12.518100541965204,651.9098
sample_040,TVL1,8.917958365479095,1026.7007
sample_040,DIS,10.093780222488405,1937.4192
sample_040,Farneback,10.470179010737883,1967.7991
sample_040,PCAFlow,12.854230818215335,1594.9619
sample_040,Lucas-Kanade,7.623468836685019,2704.9048
sample_040,DeepFlow,13.28103767521545,1009.42474
sample_041,TVL1,12.239788254368696,1260.0791
sample_041,DIS,13.000056823383872,2378.333
sample_041,Farneback,13.301965685733482,2412.009
sample_041,PCAFlow,15.632733671531446,2206.1013
sample_041,Lucas-Kanade,11.158107185450014,3138.0574
sample_041,DeepFlow,16.033137922226654,1738.2881
sample_042,TVL1,9.405863401008313,1122.2916
sample_042,DIS,10.198363016954513,2053.3223
sample_042,Farneback,10.435486350285593,2085.2822
sample_042,PCAFlow,13.115750223945218,1864.8765
sample_042,Lucas-Kanade,8.536945298291606,2706.435
sample_042,DeepFlow,13.392368321418711,1312.2615
sample_043,TVL1,10.823868979215057,1207.5962
sample_043,DIS,11.510500263007359,2244.2227
sample_043,Farneback,12.056961363164493,2271.026
sample_043,PCAFlow,14.47170058485857,2046.8489
sample_043,Lucas-Kanade,9.761812420391848,2952.829
sample_043,DeepFlow,14.644399540435716,1579.2485
sample_044,TVL1,9.277578274233367,1003.304
sample_044,DIS,10.147427263734857,1816.1283
sample_044,Farneback,10.644132772391668,1833.8928
sample_044,PCAFlow,12.628448488052875,1607.9941
sample_044,Lucas-Kanade,8.213317263465779,2440.4678
sample_044,DeepFlow,13.060469912368234,1181.7908
sample_045,TVL1,9.225558505251836,1322.3237
sample_045,DIS,9.80500276797595,2399.8962
sample_045,Farneback,10.168954281385567,2434.7944
sample_045,PCAFlow,12.882843381067893,2168.1714
sample_045,Lucas-Kanade,8.390097045977338,3156.4175
sample_045,DeepFlow,13.314027453543694,1518.0962
sample_046,TVL1,9.172550827273774,1124.9126
sample_046,DIS,10.044176706123423,2257.2356
sample_046,Farneback,10.074123066214892,2298.9487
sample_046,PCAFlow,12.85712563616589,1855.5173
sample_046,Lucas-Kanade,8.209940406537337,2996.8396
sample_046,DeepFlow,13.151556793886426,1300.0607
sample_047,TVL1,10.374717523983154,1048.5662
sample_047,DIS,11.03060280787805,2105.44
sample_047,Farneback,11.231469040293478,2130.5737
sample_047,PCAFlow,13.904536876467972,1753.1279
sample_047,Lucas-Kanade,9.132883185193576,2801.7678
sample_047,DeepFlow,14.152164897910389,1309.5687
sample_048,TVL1,11.844171412338127,720.20654
sample_048,DIS,12.270777493215132,1305.1779
sample_048,Farneback,12.563124044964578,1323.0488
sample_048,PCAFlow,14.724015499585185,1214.8684
sample_048,Lucas-Kanade,10.437218687050887,1758.8566
sample_048,DeepFlow,15.381924996802756,912.6393
sample_049,TVL1,7.4054052011318765,1388.6406
sample_049,DIS,8.140560432054968,2489.641
sample_049,Farneback,8.489307935435527,2526.2505
sample_049,PCAFlow,11.172679491596902,2113.067
sample_049,Lucas-Kanade,6.787853601729228,3309.5405
sample_049,DeepFlow,11.55846651572227,1333.2968
