algorithm_type,params,s_epe,s_mse,a_mse,combined_score
TVL1,tau=0.1; lambda_=0.3; theta=0.3; nscales=4; warps=3; epsilon=0.02,11.49300606,1844.967,1844.967,0.313340092
TVL1,tau=0.1; lambda_=0.3; theta=0.3; nscales=4; warps=5; epsilon=0.01,11.86276175,1820.486,1820.486,0.313360404
TVL1,tau=0.1; lambda_=0.3; theta=0.3; nscales=4; warps=5; epsilon=0.02,11.84321556,1816.8668,1816.8668,0.312769755
TVL1,tau=0.1; lambda_=0.3; theta=0.5; nscales=3; warps=3; epsilon=0.01,10.62293081,1962.2992,1962.2992,0.320459359
TVL1,tau=0.1; lambda_=0.3; theta=0.5; nscales=3; warps=3; epsilon=0.02,10.62808763,1966.9476,1966.9476,0.321058424
TVL1,tau=0.1; lambda_=0.3; theta=0.5; nscales=3; warps=5; epsilon=0.01,10.89968238,1924.5312,1924.5312,0.318141228
TVL1,tau=0.1; lambda_=0.3; theta=0.5; nscales=3; warps=5; epsilon=0.02,10.89571274,1927.4172,1927.4172,0.318455774
TVL1,tau=0.1; lambda_=0.3; theta=0.5; nscales=4; warps=3; epsilon=0.01,11.48697968,1858.5873,1858.5873,0.314926315
TVL1,tau=0.1; lambda_=0.3; theta=0.5; nscales=4; warps=3; epsilon=0.02,11.47738277,1858.5461,1858.5461,0.314844608
TVL1,tau=0.1; lambda_=0.3; theta=0.5; nscales=4; warps=5; epsilon=0.01,11.86836334,1834.2087,1834.2087,0.315051959
TVL1,tau=0.1; lambda_=0.3; theta=0.5; nscales=4; warps=5; epsilon=0.02,11.87910028,1826.2543,1826.2543,0.314183331
TVL1,tau=0.25; lambda_=0.05; theta=0.3; nscales=3; warps=3; epsilon=0.01,10.55761484,2405.228,2405.228,0.373088305
TVL1,tau=0.25; lambda_=0.05; theta=0.3; nscales=3; warps=3; epsilon=0.02,10.59699541,2351.1055,2351.1055,0.366908648
TVL1,tau=0.25; lambda_=0.05; theta=0.3; nscales=3; warps=5; epsilon=0.01,10.90632438,2315.8794,2315.8794,0.365156149
TVL1,tau=0.25; lambda_=0.05; theta=0.3; nscales=3; warps=5; epsilon=0.02,10.94206535,2274.674,2274.674,0.360497424
TVL1,tau=0.25; lambda_=0.05; theta=0.3; nscales=4; warps=3; epsilon=0.01,11.40684079,2263.9624,2263.9624,0.362930224
TVL1,tau=0.25; lambda_=0.05; theta=0.3; nscales=4; warps=3; epsilon=0.02,11.47037266,2210.6128,2210.6128,0.357036522
TVL1,tau=0.25; lambda_=0.05; theta=0.3; nscales=4; warps=5; epsilon=0.01,11.95177584,2172.2302,2172.2302,0.356281829
TVL1,tau=0.25; lambda_=0.05; theta=0.3; nscales=4; warps=5; epsilon=0.02,11.97477028,2129.1055,2129.1055,0.35129082
TVL1,tau=0.25; lambda_=0.05; theta=0.5; nscales=3; warps=3; epsilon=0.01,10.49975935,2560.5247,2560.5247,0.391261032
TVL1,tau=0.25; lambda_=0.05; theta=0.5; nscales=3; warps=3; epsilon=0.02,10.60002275,2489.0881,2489.0881,0.383490769
TVL1,tau=0.25; lambda_=0.05; theta=0.5; nscales=3; warps=5; epsilon=0.01,10.85173975,2458.9077,2458.9077,0.381882838
TVL1,tau=0.25; lambda_=0.05; theta=0.5; nscales=3; warps=5; epsilon=0.02,10.95161892,2401.5996,2401.5996,0.375804926
TVL1,tau=0.25; lambda_=0.05; theta=0.5; nscales=4; warps=3; epsilon=0.01,11.30912025,2415.4595,2415.4595,0.380328114
TVL1,tau=0.25; lambda_=0.05; theta=0.5; nscales=4; warps=3; epsilon=0.02,11.48530633,2342.044,2342.044,0.372927738
TVL1,tau=0.25; lambda_=0.05; theta=0.5; nscales=4; warps=5; epsilon=0.01,11.83042419,2308.5,2308.5,0.371663401
TVL1,tau=0.25; lambda_=0.05; theta=0.5; nscales=4; warps=5; epsilon=0.02,12.02244928,2243.42,2243.42,0.365389992
TVL1,tau=0.25; lambda_=0.15; theta=0.3; nscales=3; warps=3; epsilon=0.01,10.58368763,1867.2639,1867.2639,0.308741183
TVL1,tau=0.25; lambda_=0.15; theta=0.3; nscales=3; warps=3; epsilon=0.02,10.55795053,1861.9392,1861.9392,0.307896324
TVL1,tau=0.25; lambda_=0.15; theta=0.3; nscales=3; warps=5; epsilon=0.01,10.83362037,1838.1101,1838.1101,0.30724218
TVL1,tau=0.25; lambda_=0.15; theta=0.3; nscales=3; warps=5; epsilon=0.02,10.81399738,1831.0433,1831.0433,0.306237186
TVL1,tau=0.25; lambda_=0.15; theta=0.3; nscales=4; warps=3; epsilon=0.01,11.53413769,1752.9684,1752.9684,0.302629322
TVL1,tau=0.25; lambda_=0.15; theta=0.3; nscales=4; warps=3; epsilon=0.02,11.51773722,1749.3207,1749.3207,0.302060382
TVL1,tau=0.25; lambda_=0.15; theta=0.3; nscales=4; warps=5; epsilon=0.01,11.94240019,1723.1416,1723.1416,0.302316208
TVL1,tau=0.25; lambda_=0.15; theta=0.3; nscales=4; warps=5; epsilon=0.02,11.91794118,1722.3352,1722.3352,0.302023768
TVL1,tau=0.25; lambda_=0.15; theta=0.5; nscales=3; warps=3; epsilon=0.01,10.57593358,1939.7985,1939.7985,0.317383291
TVL1,tau=0.25; lambda_=0.15; theta=0.5; nscales=3; warps=3; epsilon=0.02,10.58124958,1934.0404,1934.0404,0.316734852
TVL1,tau=0.25; lambda_=0.15; theta=0.5; nscales=3; warps=5; epsilon=0.01,10.84345459,1920.8871,1920.8871,0.317254102
TVL1,tau=0.25; lambda_=0.15; theta=0.5; nscales=3; warps=5; epsilon=0.02,10.83618892,1907.3799,1907.3799,0.315575117
TVL1,tau=0.25; lambda_=0.15; theta=0.5; nscales=4; warps=3; epsilon=0.01,11.55605975,1822.678,1822.678,0.311169853
TVL1,tau=0.25; lambda_=0.15; theta=0.5; nscales=4; warps=3; epsilon=0.02,11.56389984,1817.0466,1817.0466,0.310556806
TVL1,tau=0.25; lambda_=0.15; theta=0.5; nscales=4; warps=5; epsilon=0.01,11.98898631,1794.6487,1794.6487,0.311269731
TVL1,tau=0.25; lambda_=0.15; theta=0.5; nscales=4; warps=5; epsilon=0.02,11.99303035,1791.9037,1791.9037,0.310972693
TVL1,tau=0.25; lambda_=0.3; theta=0.3; nscales=3; warps=3; epsilon=0.01,10.67623912,1947.4371,1947.4371,0.319102365
TVL1,tau=0.25; lambda_=0.3; theta=0.3; nscales=3; warps=3; epsilon=0.02,10.64057851,1945.6943,1945.6943,0.318607957
TVL1,tau=0.25; lambda_=0.3; theta=0.3; nscales=3; warps=5; epsilon=0.01,10.95118123,1911.971,1911.971,0.317045982
TVL1,tau=0.25; lambda_=0.3; theta=0.3; nscales=3; warps=5; epsilon=0.02,10.90554136,1902.6101,1902.6101,0.315557553
TVL1,tau=0.25; lambda_=0.3; theta=0.3; nscales=4; warps=3; epsilon=0.01,11.47919584,1852.6453,1852.6453,0.314151009
TVL1,tau=0.25; lambda_=0.3; theta=0.3; nscales=4; warps=3; epsilon=0.02,11.46666296,1843.5016,1843.5016,0.312953514
TVL1,tau=0.25; lambda_=0.3; theta=0.3; nscales=4; warps=5; epsilon=0.01,11.85795201,1808.4192,1808.4192,0.311873935
TVL1,tau=0.25; lambda_=0.3; theta=0.3; nscales=4; warps=5; epsilon=0.02,11.81723133,1810.2639,1810.2639,0.311769527
TVL1,tau=0.25; lambda_=0.3; theta=0.5; nscales=3; warps=3; epsilon=0.01,10.62656621,1971.4021,1971.4021,0.321580802
TVL1,tau=0.25; lambda_=0.3; theta=0.5; nscales=3; warps=3; epsilon=0.02,10.62505344,1962.9324,1962.9324,0.320552321
TVL1,tau=0.25; lambda_=0.3; theta=0.5; nscales=3; warps=5; epsilon=0.01,10.90933059,1932.467,1932.467,0.319170702
TVL1,tau=0.25; lambda_=0.3; theta=0.5; nscales=3; warps=5; epsilon=0.02,10.90488476,1929.6901,1929.6901,0.318801901
TVL1,tau=0.25; lambda_=0.3; theta=0.5; nscales=4; warps=3; epsilon=0.01,11.47353147,1866.3207,1866.3207,0.315746744
TVL1,tau=0.25; lambda_=0.3; theta=0.5; nscales=4; warps=3; epsilon=0.02,11.4753645,1861.2117,1861.2117,0.31514833
TVL1,tau=0.25; lambda_=0.3; theta=0.5; nscales=4; warps=5; epsilon=0.01,11.87833588,1833.5706,1833.5706,0.315055162
TVL1,tau=0.25; lambda_=0.3; theta=0.5; nscales=4; warps=5; epsilon=0.02,11.87344424,1829.194,1829.194,0.314490837
TVL1,tau=0.5; lambda_=0.05; theta=0.3; nscales=3; warps=3; epsilon=0.01,10.6746283,2261.554,2261.554,0.356783531
TVL1,tau=0.5; lambda_=0.05; theta=0.3; nscales=3; warps=3; epsilon=0.02,10.6746283,2261.554,2261.554,0.356783531
TVL1,tau=0.5; lambda_=0.05; theta=0.3; nscales=3; warps=5; epsilon=0.01,11.04511994,2188.7073,2188.7073,0.351005847
TVL1,tau=0.5; lambda_=0.05; theta=0.3; nscales=3; warps=5; epsilon=0.02,11.04511994,2188.7073,2188.7073,0.351005847
TVL1,tau=0.5; lambda_=0.05; theta=0.3; nscales=4; warps=3; epsilon=0.01,11.62284514,2129.9924,2129.9924,0.348581872
TVL1,tau=0.5; lambda_=0.05; theta=0.3; nscales=4; warps=3; epsilon=0.02,11.62284514,2129.9924,2129.9924,0.348581872
TVL1,tau=0.5; lambda_=0.05; theta=0.3; nscales=4; warps=5; epsilon=0.01,12.20459529,2050.5276,2050.5276,0.343700084
TVL1,tau=0.5; lambda_=0.05; theta=0.3; nscales=4; warps=5; epsilon=0.02,12.20459529,2050.5276,2050.5276,0.343700084
TVL1,tau=0.5; lambda_=0.05; theta=0.5; nscales=3; warps=3; epsilon=0.01,10.76265754,2234.7798,2234.7798,0.354274836
TVL1,tau=0.5; lambda_=0.05; theta=0.5; nscales=3; warps=3; epsilon=0.02,10.76265754,2234.7798,2234.7798,0.354274836
TVL1,tau=0.5; lambda_=0.05; theta=0.5; nscales=3; warps=5; epsilon=0.01,11.13176243,2180.1685,2180.1685,0.350674323
TVL1,tau=0.5; lambda_=0.05; theta=0.5; nscales=3; warps=5; epsilon=0.02,11.13176243,2180.1685,2180.1685,0.350674323
TVL1,tau=0.5; lambda_=0.05; theta=0.5; nscales=4; warps=3; epsilon=0.01,11.86081552,2105.183,2105.183,0.347508503
TVL1,tau=0.5; lambda_=0.05; theta=0.5; nscales=4; warps=3; epsilon=0.02,11.86081552,2105.183,2105.183,0.347508503
TVL1,tau=0.5; lambda_=0.05; theta=0.5; nscales=4; warps=5; epsilon=0.01,12.46976415,2044.515,2044.515,0.345099921
TVL1,tau=0.5; lambda_=0.05; theta=0.5; nscales=4; warps=5; epsilon=0.02,12.46976415,2044.515,2044.515,0.345099921
TVL1,tau=0.5; lambda_=0.15; theta=0.3; nscales=3; warps=3; epsilon=0.01,10.58391419,1870.1367,1870.1367,0.309087733
TVL1,tau=0.5; lambda_=0.15; theta=0.3; nscales=3; warps=3; epsilon=0.02,10.58391419,1870.1367,1870.1367,0.309087733
TVL1,tau=0.5; lambda_=0.15; theta=0.3; nscales=3; warps=5; epsilon=0.01,10.82043197,1840.6578,1840.6578,0.307442414
TVL1,tau=0.5; lambda_=0.15; theta=0.3; nscales=3; warps=5; epsilon=0.02,10.82043197,1840.6578,1840.6578,0.307442414
TVL1,tau=0.5; lambda_=0.15; theta=0.3; nscales=4; warps=3; epsilon=0.01,11.52125389,1761.865,1761.865,0.303593845
TVL1,tau=0.5; lambda_=0.15; theta=0.3; nscales=4; warps=3; epsilon=0.02,11.52125389,1761.865,1761.865,0.303593845
TVL1,tau=0.5; lambda_=0.15; theta=0.3; nscales=4; warps=5; epsilon=0.01,11.92039037,1732.1185,1732.1185,0.303217364
TVL1,tau=0.5; lambda_=0.15; theta=0.3; nscales=4; warps=5; epsilon=0.02,11.92039037,1732.1185,1732.1185,0.303217364
TVL1,tau=0.5; lambda_=0.15; theta=0.5; nscales=3; warps=3; epsilon=0.01,10.57548687,1961.6302,1961.6302,0.319999535
TVL1,tau=0.5; lambda_=0.15; theta=0.5; nscales=3; warps=3; epsilon=0.02,10.57548687,1961.6302,1961.6302,0.319999535
TVL1,tau=0.5; lambda_=0.15; theta=0.5; nscales=3; warps=5; epsilon=0.01,10.82828755,1932.5488,1932.5488,0.318532178
TVL1,tau=0.5; lambda_=0.15; theta=0.5; nscales=3; warps=5; epsilon=0.02,10.82828755,1932.5488,1932.5488,0.318532178
TVL1,tau=0.5; lambda_=0.15; theta=0.5; nscales=4; warps=3; epsilon=0.01,11.5218549,1854.8555,1854.8555,0.314757492
TVL1,tau=0.5; lambda_=0.15; theta=0.5; nscales=4; warps=3; epsilon=0.02,11.5218549,1854.8555,1854.8555,0.314757492
TVL1,tau=0.5; lambda_=0.15; theta=0.5; nscales=4; warps=5; epsilon=0.01,11.91470387,1834.9121,1834.9121,0.315507098
TVL1,tau=0.5; lambda_=0.15; theta=0.5; nscales=4; warps=5; epsilon=0.02,11.91470387,1834.9121,1834.9121,0.315507098
TVL1,tau=0.5; lambda_=0.3; theta=0.3; nscales=3; warps=3; epsilon=0.01,10.66352224,1954.3406,1954.3406,0.31982906
TVL1,tau=0.5; lambda_=0.3; theta=0.3; nscales=3; warps=3; epsilon=0.02,10.66352224,1954.3406,1954.3406,0.31982906
TVL1,tau=0.5; lambda_=0.3; theta=0.3; nscales=3; warps=5; epsilon=0.01,10.93495025,1904.6168,1904.6168,0.316033627
TVL1,tau=0.5; lambda_=0.3; theta=0.3; nscales=3; warps=5; epsilon=0.02,10.93495025,1904.6168,1904.6168,0.316033627
TVL1,tau=0.5; lambda_=0.3; theta=0.3; nscales=4; warps=3; epsilon=0.01,11.48918532,1858.322,1858.322,0.314912131
TVL1,tau=0.5; lambda_=0.3; theta=0.3; nscales=4; warps=3; epsilon=0.02,11.48918532,1858.322,1858.322,0.314912131
TVL1,tau=0.5; lambda_=0.3; theta=0.3; nscales=4; warps=5; epsilon=0.01,11.86935521,1823.0953,1823.0953,0.313726299
TVL1,tau=0.5; lambda_=0.3; theta=0.3; nscales=4; warps=5; epsilon=0.02,11.86935521,1823.0953,1823.0953,0.313726299
TVL1,tau=0.5; lambda_=0.3; theta=0.5; nscales=3; warps=3; epsilon=0.01,10.63729234,2001.8033,2001.8033,0.325314758
TVL1,tau=0.5; lambda_=0.3; theta=0.5; nscales=3; warps=3; epsilon=0.02,10.63729234,2001.8033,2001.8033,0.325314758
TVL1,tau=0.5; lambda_=0.3; theta=0.5; nscales=3; warps=5; epsilon=0.01,10.89949003,1971.0598,1971.0598,0.32372311
TVL1,tau=0.5; lambda_=0.3; theta=0.5; nscales=3; warps=5; epsilon=0.02,10.89949003,1971.0598,1971.0598,0.32372311
TVL1,tau=0.5; lambda_=0.3; theta=0.5; nscales=4; warps=3; epsilon=0.01,11.47921127,1916.9857,1916.9857,0.321871975
TVL1,tau=0.5; lambda_=0.3; theta=0.5; nscales=4; warps=3; epsilon=0.02,11.47921127,1916.9857,1916.9857,0.321871975
TVL1,tau=0.5; lambda_=0.3; theta=0.5; nscales=4; warps=5; epsilon=0.01,11.83055512,1883.7963,1883.7963,0.320700003
TVL1,tau=0.5; lambda_=0.3; theta=0.5; nscales=4; warps=5; epsilon=0.02,11.83055512,1883.7963,1883.7963,0.320700003
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.90392111,2684.9873,2684.9873,0.425429849
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.08814437,2393.3337,2393.3337,0.399905218
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.677567,2506.5112,2506.5112,0.410201905
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.61885986,2238.2437,2238.2437,0.385540137
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,11.91458487,2884.7944,2884.7944,0.441492022
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.62271421,2742.5378,2742.5378,0.430086256
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.36301156,2796.9995,2796.9995,0.434544046
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.03842182,2657.627,2657.627,0.423222622
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.36312027,2789.809,2789.809,0.433682079
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.76737921,2474.8445,2474.8445,0.407120368
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.21481681,2612.3538,2612.3538,0.419200998
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.40287735,2304.5146,2304.5146,0.391764788
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,11.31610569,2972.8584,2972.8584,0.447271853
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.06936924,2844.4011,2844.4011,0.437883098
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,11.77237029,2897.5322,2897.5322,0.441882836
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.51193445,2757.059,2757.059,0.43094256
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.44036257,2580.4353,2580.4353,0.41717514
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.61059111,2254.439,2254.439,0.387417426
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,14.2341489,2371.6401,2371.6401,0.398470022
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,15.11604459,2092.152,2092.152,0.371986607
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.35014776,2816.4,2816.4,0.436769174
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.12698816,2650.7866,2650.7866,0.423110308
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.85075253,2715.079,2715.079,0.428615529
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.58642675,2544.9243,2544.9243,0.414082338
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.77907818,2707.728,2707.728,0.427160015
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.22339259,2359.0562,2359.0562,0.396873888
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.67610963,2509.0437,2509.0437,0.410494141
