algorithm_type,params,s_epe,s_mse,a_mse,combined_score
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.294555513855471,565.2904,565.2904,0.17419129823682034
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.802969879214928,662.76337,662.76337,0.18195536159519327
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.362369055857865,739.7359,739.7359,0.18766726329176114
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.192840579883228,593.6621,593.6621,0.1767821811734515
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.715510772216339,477.94843,477.94843,0.16707789937891976
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.222104767991627,365.60333,365.60333,0.15764923926221153
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,14.056783507231469,407.04507,407.04507,0.1612996784048366
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.359558411828118,331.70425,331.70425,0.15468097806685321
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.842820828888279,648.31287,648.31287,0.18054011361387146
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.544508358883036,511.56317,511.56317,0.1697436467591697
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.275546169102167,568.91986,568.91986,0.1744747546181677
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.79171262939541,462.72186,462.72186,0.16586032640018214
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.475321721600125,537.51794,537.51794,0.17230473104370936
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.170795351791691,386.83298,386.83298,0.15978632232966672
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.938241503918325,441.30444,441.30444,0.1644624684435857
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.336436403660386,345.0337,345.0337,0.1560955373475425
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.295467544069494,749.9504,749.9504,0.1883577909149377
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.24185381575494,581.5768,581.5768,0.17572404644839518
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.865658199284898,652.8705,652.8705,0.1812697224457616
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.57783467339163,517.12225,517.12225,0.1706773524595646
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.113587647239754,617.4622,617.4622,0.17900416642078076
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.55869042678577,532.8049,532.8049,0.17240611456266264
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.396955320742299,565.8264,565.8264,0.1750748175542082
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.740128190014241,498.31885,498.31885,0.16971929225876714
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.671164371647274,692.6805,692.6805,0.1844909723446992
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.007043675491204,637.17096,637.17096,0.18051686734683506
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.870781577242678,658.731,658.731,0.18201397722254803
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.166930611341044,608.2431,608.2431,0.17832461812423742
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.93576968781918,651.43835,651.43835,0.18165876671256778
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.665241166794939,510.73706,510.73706,0.17061037924762285
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.382640756557024,570.08105,570.08105,0.17547085952671082
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.90035823153291,464.04965,464.04965,0.16688882560863766
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.124066510198393,780.49335,780.49335,0.19065173185585244
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.750977047099632,683.48425,683.48425,0.1840259235526241
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.484243684655599,726.67865,726.67865,0.18707539577202936
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.02123618976664,636.653,636.653,0.180568254717699
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.606970327621164,525.0426,525.0426,0.17186087473253778
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.903323650115482,463.00507,463.00507,0.1667872003893356
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.814540718249116,483.6089,483.6089,0.16854939347904233
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.024696828295209,439.2386,439.2386,0.16490620787039928
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.281109494462218,587.14197,587.14197,0.17670591721927809
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.525598137108569,541.25287,541.25287,0.17315513204358485
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.438032873603555,558.1236,558.1236,0.1744790965965021
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.644061097776767,518.34344,518.34344,0.17135370559911628
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.42050326978927,560.95734,560.95734,0.174678911715012
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.946348865313098,451.79865,451.79865,0.16578663191781653
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.74861042539219,494.767,494.767,0.1693609247775825
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.126415575115553,412.71356,412.71356,0.16253695432995696
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.753118436199703,686.2748,686.2748,0.18437792101035338
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.262279729618694,591.3453,591.3453,0.17705967595636102
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.05555460753753,631.0834,631.0834,0.18017444772741908
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.48649847797355,548.0643,548.0643,0.17365970071489023
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.132326284895933,593.36163,593.36163,0.17626200600346403
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.665994693740803,477.38297,477.38297,0.16661391458832897
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.502714373819932,523.393,523.393,0.17082888007682884
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.858025642317108,439.3086,439.3086,0.1635812389121975
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.442721812856297,724.5929,724.5929,0.1864929259930619
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.96479401369292,623.5244,623.5244,0.17854128459130914
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.794936965418598,663.27057,663.27057,0.1819519695282995
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.20746355457156,580.9035,580.9035,0.1753681302629351
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.061735421505379,617.1877,617.1877,0.17855640959808675
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.715766956168446,476.35815,476.35815,0.1668891171297076
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.524155462183405,531.9441,531.9441,0.17202653254586736
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.930583341020412,431.99097,431.99097,0.1632835825232511
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.153860294406726,779.0392,779.0392,0.19071558953193915
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.846218760068473,654.74475,654.74475,0.18133911760850951
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.615010919242653,708.6107,708.6107,0.18595337744211796
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.155010607757385,600.5088,600.5088,0.17730113927060934
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.716722095653456,484.6337,484.6337,0.16788982378160988
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.073768506869508,398.0636,398.0636,0.16035777976453172
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.977719935847375,428.52557,428.52557,0.1632448323017204
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.197087262291793,369.53302,369.53302,0.15792066136375338
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.163030281263564,609.2939,609.2939,0.17841950910963994
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.583852000418727,510.70874,510.70874,0.16995586472657065
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.459081555008302,548.76715,548.76715,0.17352471335410602
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.771043732336562,473.54184,473.54184,0.16699337300317607
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.598261627183495,518.4722,518.4722,0.17100276233852812
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.068294238467237,404.56302,404.56302,0.16109391984478016
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.94052789652277,445.74146,445.74146,0.1650132004256192
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.216338368354021,371.09476,371.09476,0.1582620783912959
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.83214477295959,675.84436,675.84436,0.18375847886763286
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.430671575185775,552.1072,552.1072,0.1736982374987373
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.246190977890503,601.3125,601.3125,0.17812702999750146
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.672621224066631,503.4816,503.4816,0.16979876348369133
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.09746595938268,603.6,603.6,0.17721172413979075
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.604954653699428,493.79865,493.79865,0.16809547562376048
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.442336932313967,537.6745,537.6745,0.17205963564310495
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.792675504302533,455.14786,455.14786,0.16495914797358158
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.49125358521582,717.826,717.826,0.18606914884325992
